,State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
2,AK,West,Pacific,Anchorage Borough,2020,2020,Region 22,1/1/2014,6827.0,0.125,3.3,3.0,0.06,0.157,0.257,8.185,0.205,0.872,0.185,0.289,863.1,37.7,0.183,96.0,99.0,204.0,43.8,0.73,0.56,0.718,0.703,0.054,0.128,,0.319,,840.06,66.0,,0.326,0.169,0.754,0.148,298610,0.023,0.041,0.07,164.5,339.6,5.6,51.7,0.126,0.046,8.57,15.37,0.218,0.096,6588.0,0.119,135.0,71094,0.319,6.29,0.16
3,AK,West,Pacific,Anchorage Borough,2020,2020,Region 22,1/1/2015,6856.0,0.125,3.3,3.0,0.06,0.157,0.268,8.0,0.18,0.92,0.185,0.268,810.4,36.7,0.198,96.0,104.0,285.0,39.86,0.76,0.56,0.73,0.71,0.05,0.102,3.806,0.309,10.984,823.16,68.7,,0.153,0.168,0.751,0.148,300950,0.023,0.041,0.07,164.5,338.1,5.7,46.4,0.125,0.046,7.45,17.08,0.227,0.123,6582.0,0.119,148.0,76362,0.334,5.6,
4,AK,West,Pacific,Bethel Census Area,2050,2050,Insuff Data,1/1/2014,13345.0,0.211,3.3,2.6,0.05,0.299,0.315,3.21,0.283,0.957,0.171,1.0,2222.1,80.3,0.287,98.0,121.0,734.0,143.63,0.25,,0.408,0.4,0.152,0.351,,0.293,,,153.4,,0.185,0.626,0.262,0.027,17746,0.046,0.739,0.067,166.2,443.8,11.5,180.3,0.199,0.386,,,0.394,0.124,5860.0,0.2,169.0,41722,0.668,12.77,0.477
5,AK,West,Pacific,Bethel Census Area,2050,2050,Insuff Data,1/1/2015,12864.0,0.211,3.3,2.6,0.05,0.299,0.324,2.8,0.292,0.957,0.171,1.0,1865.2,81.0,0.296,90.0,118.0,974.0,133.57,,,0.442,0.387,0.154,0.308,4.539,0.29,5.635,,157.3,,0.138,0.624,0.255,0.021,17758,0.04,0.739,0.059,166.2,476.9,10.1,158.8,0.2,0.386,,,0.389,0.153,5317.0,0.2,175.0,42876,0.721,18.3,
8,AK,West,Pacific,Fairbanks North Star Borough,2090,2090,Region 22,1/1/2014,5740.0,0.11,3.5,3.0,0.06,0.194,0.291,7.526,0.225,0.692,0.2,0.385,760.1,38.1,0.211,73.0,102.0,375.0,32.73,0.8,0.57,0.676,0.691,0.062,0.132,,0.322,,,63.4,,0.015,0.198,0.722,0.15,100272,0.008,0.309,0.061,69.0,298.0,5.2,43.4,0.131,0.1,11.68,12.29,0.251,0.115,6855.0,0.129,133.0,63979,0.161,4.92,0.168
9,AK,West,Pacific,Fairbanks North Star Borough,2090,2090,Region 22,1/1/2015,5862.0,0.11,3.5,3.0,0.06,0.194,0.285,7.3,0.202,0.711,0.2,0.349,591.4,37.5,0.211,70.0,112.0,507.0,29.53,0.76,0.6,0.663,0.698,0.058,0.112,3.939,0.308,10.671,,60.6,,0.304,0.211,0.729,0.153,100436,0.011,0.309,0.057,69.0,304.7,4.0,38.1,0.131,0.1,10.73,11.48,0.247,0.121,6378.0,0.129,130.0,67204,0.211,4.3,
14,AK,West,Pacific,Kenai Peninsula Borough,2122,2122,Region 22,1/1/2014,8656.0,0.137,3.6,3.0,0.05,0.212,0.275,7.927,0.237,0.606,0.185,0.306,275.3,30.2,0.23,78.0,61.0,72.0,51.5,0.79,0.54,0.73,0.608,0.084,0.148,,0.304,,,90.6,,0.046,0.198,0.696,0.161,56900,0.004,0.793,0.067,62.2,385.4,6.0,68.5,0.132,0.059,18.53,17.19,0.268,0.131,7872.0,0.156,97.0,60431,0.277,4.03,0.167
15,AK,West,Pacific,Kenai Peninsula Borough,2122,2122,Region 22,1/1/2015,6917.0,0.137,3.6,3.0,0.05,0.212,0.275,7.7,0.217,0.746,0.185,0.269,358.5,29.6,0.245,81.0,65.0,133.0,41.31,0.81,0.56,0.79,0.621,0.075,0.139,4.397,0.286,15.641,,97.1,,0.034,0.201,0.69,0.161,57147,0.003,0.793,0.066,62.2,332.4,,38.1,0.129,0.059,17.51,15.94,0.278,0.159,7129.0,0.156,94.0,61629,0.287,2.7,
22,AK,West,Pacific,Matanuska-Susitna Borough,2170,2170,Region 22,1/1/2014,6519.0,0.133,3.7,3.3,0.06,0.262,0.298,8.101,0.247,0.337,0.183,0.339,467.7,32.5,0.217,52.0,43.0,63.0,55.06,0.78,0.59,0.7,0.612,0.08,0.126,,0.237,,,79.5,,0.022,0.195,0.716,0.408,93925,0.006,0.503,0.068,39.8,338.5,4.2,50.2,0.124,0.058,14.69,16.28,0.266,0.111,7057.0,0.17,63.0,68109,0.264,4.95,0.169
23,AK,West,Pacific,Matanuska-Susitna Borough,2170,2170,Region 22,1/1/2015,6983.0,0.133,3.7,3.3,0.06,0.262,0.298,7.9,0.223,0.475,0.183,0.288,458.9,32.6,0.217,53.0,47.0,112.0,55.5,0.82,0.59,0.72,0.613,0.073,0.12,4.147,0.242,9.05,,79.9,,0.292,0.195,0.714,0.406,95192,0.006,0.503,0.078,39.8,356.0,4.8,48.4,0.123,0.058,11.22,18.98,0.254,0.138,6594.0,0.17,67.0,72371,0.277,4.8,
