,State,Year,Homicide rate
2,AK,1/1/2014,6.29
3,AK,1/1/2015,5.6
4,AK,1/1/2014,12.77
5,AK,1/1/2015,18.3
8,AK,1/1/2014,4.92
9,AK,1/1/2015,4.3
14,AK,1/1/2014,4.03
15,AK,1/1/2015,2.7
22,AK,1/1/2014,4.95
23,AK,1/1/2015,4.8
40,AK,1/1/2014,19.37
41,AK,1/1/2015,24.2
46,AL,1/1/2014,3.57
47,AL,1/1/2015,4.6
48,AL,1/1/2014,4.18
49,AL,1/1/2015,4.3
50,AL,1/1/2014,5.13
52,AL,1/1/2014,7.65
53,AL,1/1/2015,7.8
54,AL,1/1/2014,4.08
55,AL,1/1/2015,4.3
58,AL,1/1/2014,9.58
59,AL,1/1/2015,8.2
60,AL,1/1/2014,11.31
61,AL,1/1/2015,12.0
62,AL,1/1/2014,8.21
63,AL,1/1/2015,9.7
66,AL,1/1/2014,4.68
67,AL,1/1/2015,6.2
70,AL,1/1/2014,8.11
71,AL,1/1/2015,7.5
74,AL,1/1/2014,11.67
76,AL,1/1/2014,3.31
77,AL,1/1/2015,3.5
78,AL,1/1/2014,6.04
79,AL,1/1/2015,5.3
80,AL,1/1/2014,10.66
84,AL,1/1/2014,4.2
88,AL,1/1/2014,3.05
89,AL,1/1/2015,2.8
90,AL,1/1/2014,5.77
91,AL,1/1/2015,7.3
92,AL,1/1/2014,19.7
93,AL,1/1/2015,20.6
94,AL,1/1/2014,2.68
95,AL,1/1/2015,3.3
96,AL,1/1/2014,6.2
97,AL,1/1/2015,7.8
98,AL,1/1/2014,9.42
99,AL,1/1/2015,11.4
100,AL,1/1/2014,7.43
101,AL,1/1/2015,7.5
106,AL,1/1/2014,8.13
107,AL,1/1/2015,8.1
108,AL,1/1/2014,18.27
109,AL,1/1/2015,20.8
110,AL,1/1/2014,15.75
111,AL,1/1/2015,13.3
113,AL,1/1/2015,10.7
114,AL,1/1/2014,5.43
115,AL,1/1/2015,4.3
116,AL,1/1/2014,5.08
117,AL,1/1/2015,4.2
118,AL,1/1/2014,17.47
119,AL,1/1/2015,17.0
122,AL,1/1/2014,5.97
123,AL,1/1/2015,6.2
124,AL,1/1/2014,6.67
125,AL,1/1/2015,4.7
126,AL,1/1/2014,7.26
127,AL,1/1/2015,6.5
128,AL,1/1/2014,5.62
129,AL,1/1/2015,4.9
130,AL,1/1/2014,22.7
131,AL,1/1/2015,23.4
132,AL,1/1/2014,28.67
133,AL,1/1/2015,31.4
134,AL,1/1/2014,5.38
135,AL,1/1/2015,5.5
136,AL,1/1/2014,6.67
138,AL,1/1/2014,5.58
140,AL,1/1/2014,3.36
141,AL,1/1/2015,3.2
142,AL,1/1/2014,14.05
143,AL,1/1/2015,15.2
144,AL,1/1/2014,10.96
145,AL,1/1/2015,9.5
146,AL,1/1/2014,14.06
147,AL,1/1/2015,14.6
148,AL,1/1/2014,4.29
149,AL,1/1/2015,3.6
151,AL,1/1/2015,15.3
154,AL,1/1/2014,6.76
155,AL,1/1/2015,6.2
156,AL,1/1/2014,9.42
157,AL,1/1/2015,9.4
158,AL,1/1/2014,13.71
159,AL,1/1/2015,12.6
160,AL,1/1/2014,3.37
161,AL,1/1/2015,3.6
162,AL,1/1/2014,5.31
163,AL,1/1/2015,5.3
166,AL,1/1/2014,8.7
167,AL,1/1/2015,9.2
168,AL,1/1/2014,7.6
169,AL,1/1/2015,8.4
170,AL,1/1/2014,9.54
171,AL,1/1/2015,8.3
172,AL,1/1/2014,6.52
173,AL,1/1/2015,6.5
174,AL,1/1/2014,8.11
175,AL,1/1/2015,8.0
177,AL,1/1/2015,14.8
180,AR,1/1/2014,9.52
181,AR,1/1/2015,9.6
182,AR,1/1/2014,7.03
183,AR,1/1/2015,8.5
186,AR,1/1/2014,2.19
187,AR,1/1/2015,2.2
188,AR,1/1/2014,7.88
189,AR,1/1/2015,7.5
196,AR,1/1/2014,19.74
197,AR,1/1/2015,17.2
198,AR,1/1/2014,6.21
199,AR,1/1/2015,12.3
206,AR,1/1/2014,12.07
207,AR,1/1/2015,8.0
208,AR,1/1/2014,8.19
209,AR,1/1/2015,8.3
210,AR,1/1/2014,4.69
211,AR,1/1/2015,4.7
212,AR,1/1/2014,4.06
213,AR,1/1/2015,4.5
214,AR,1/1/2014,14.13
215,AR,1/1/2015,12.7
218,AR,1/1/2014,17.02
220,AR,1/1/2014,19.99
221,AR,1/1/2015,14.6
224,AR,1/1/2014,3.67
225,AR,1/1/2015,3.8
230,AR,1/1/2014,10.01
231,AR,1/1/2015,10.0
234,AR,1/1/2014,6.31
235,AR,1/1/2015,6.8
236,AR,1/1/2014,7.52
237,AR,1/1/2015,8.5
238,AR,1/1/2014,5.31
239,AR,1/1/2015,5.7
240,AR,1/1/2014,10.32
242,AR,1/1/2014,5.2
243,AR,1/1/2015,6.3
248,AR,1/1/2014,19.84
249,AR,1/1/2015,22.2
256,AR,1/1/2014,26.16
257,AR,1/1/2015,29.8
262,AR,1/1/2014,6.32
264,AR,1/1/2014,4.24
265,AR,1/1/2015,5.7
270,AR,1/1/2014,6.69
271,AR,1/1/2015,6.1
272,AR,1/1/2014,12.45
273,AR,1/1/2015,16.1
282,AR,1/1/2014,13.48
283,AR,1/1/2015,12.9
286,AR,1/1/2014,29.95
287,AR,1/1/2015,36.9
290,AR,1/1/2014,5.76
291,AR,1/1/2015,9.6
294,AR,1/1/2014,2.64
295,AR,1/1/2015,3.1
298,AR,1/1/2014,15.81
299,AR,1/1/2015,15.9
302,AR,1/1/2014,4.31
303,AR,1/1/2015,4.4
308,AR,1/1/2014,5.02
309,AR,1/1/2015,5.1
310,AR,1/1/2014,9.53
314,AR,1/1/2014,10.55
315,AR,1/1/2015,11.9
318,AR,1/1/2014,14.44
319,AR,1/1/2015,13.3
322,AR,1/1/2014,2.82
323,AR,1/1/2015,2.0
324,AR,1/1/2014,3.68
325,AR,1/1/2015,4.6
330,AZ,1/1/2014,13.11
331,AZ,1/1/2015,14.7
332,AZ,1/1/2014,5.03
333,AZ,1/1/2015,5.3
334,AZ,1/1/2014,6.37
335,AZ,1/1/2015,7.2
336,AZ,1/1/2014,10.01
337,AZ,1/1/2015,9.8
338,AZ,1/1/2014,4.47
339,AZ,1/1/2015,4.9
342,AZ,1/1/2014,6.99
343,AZ,1/1/2015,11.2
344,AZ,1/1/2014,8.35
345,AZ,1/1/2015,7.0
346,AZ,1/1/2014,7.47
347,AZ,1/1/2015,8.0
348,AZ,1/1/2014,12.4
349,AZ,1/1/2015,12.2
350,AZ,1/1/2014,8.55
351,AZ,1/1/2015,8.1
352,AZ,1/1/2014,6.78
353,AZ,1/1/2015,6.2
354,AZ,1/1/2014,3.49
355,AZ,1/1/2015,4.9
356,AZ,1/1/2014,3.57
357,AZ,1/1/2015,4.8
358,AZ,1/1/2014,4.53
359,AZ,1/1/2015,3.8
360,CA,1/1/2014,9.69
361,CA,1/1/2015,9.4
364,CA,1/1/2014,4.14
365,CA,1/1/2015,4.5
366,CA,1/1/2014,3.44
370,CA,1/1/2014,9.01
371,CA,1/1/2015,8.8
372,CA,1/1/2014,8.56
373,CA,1/1/2015,8.0
374,CA,1/1/2014,2.58
375,CA,1/1/2015,3.0
376,CA,1/1/2014,8.18
377,CA,1/1/2015,7.6
380,CA,1/1/2014,4.21
381,CA,1/1/2015,3.7
382,CA,1/1/2014,3.22
